NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
1,0,2,63,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,21,35,0,0,0,0,0.1698113208,0.2040816327,0,1,1,0,0,0.0188679245,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
2,0,1,63,0,0,0,0,0,0,3,2,0,14,1,0,0,0,0,0,19,14,22,0,0,0,0.0267857143,0.4375,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
3,1,3,111,7,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,22,82,0,0,0,0,0.2,1.0,1,1,0,1,0,0.0173913043,0,0,0,0,0,1,0,0,1,-1,-1,0,-1,1,0
4,2,2,54,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,27,20,0,0,0,0,0.2,0.1538461538,0,0,0,0,0,0.0166666667,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
1,0,4,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,12,0,0,0,0,0.9333333333,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1,1
2,0,1,110,0,0,0,0,4,0,4,3,0,6,1,0,0,0,0,0,18,12,72,0,0,0,0.1153846154,0.0789473684,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,0,1,0
3,1,1,78,1,0,0,0,1,0,2,1,0,5,1,0,0,0,0,0,24,27,19,0,0,0,0.0234375,0.2608695652,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,0
4,1,9,213,2,0,0,1,0,0,1,0,0,64,1,1,0,0,1,0,18,110,77,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
2,1,3,67,0,0,0,0,0,0,2,1,0,4,1,1,0,0,1,0,12,25,22,0,0,0,0.0246305419,0.0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
1,0,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,0,0,0,0,0.1,0.1162790698,0,1,0,0,0,0.05,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1,0,5,60,2,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,21,32,0,0,0,0,0.393258427,1.0,1,1,1,0,0,0.0337078652,0,0,0,0,1,1,0,0,1,0,-1,1,-1,0,0
1,0,4,74,7,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,11,56,0,0,0,0,0.1315789474,0.1235955056,0,1,0,0,0,0.0315789474,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
4,1,10,88,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,0,15,66,0,0,1,1,0.8571428571,0.9841269841,1,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,-1,-1,1,-1,-1,1
3,0,2,55,1,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,20,28,0,0,0,0,0.0,0.3636363636,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,0,-1,1
1,0,1,83,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,63,0,0,0,0,0.1678832117,0.4583333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,0,1,0,1,0
1,0,1,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,6,0,0,0,0,0.3529411765,0.2352941176,0,0,0,0,0,0.0588235294,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
4,0,3,221,0,0,0,0,5,0,17,7,0,42,1,0,1,0,0,0,12,22,179,0,1,0,0.375,0.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0,1
3,1,2,36,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,11,18,0,0,0,0,0.0617977528,0.298245614,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
3,1,4,158,2,0,0,0,7,0,2,2,0,4,1,0,0,0,0,0,24,31,95,0,1,0,0.0,0.3333333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1
2,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,9,0,0,0,1,0.9141630901,0.08,0,1,0,1,0,0.008583691,1,0,0,0,0,1,0,0,1,1,1,0,0,-1,1
2,1,3,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,17,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,2,42,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,15,10,9,0,0,0,0.0434782609,0.6,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
2,1,8,83,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,26,50,0,0,0,0,0.0238095238,0.037037037,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0
2,0,2,68,8,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,14,47,0,0,0,0,0.3090909091,0.2,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
3,0,3,51,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,16,28,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1
1,0,2,72,9,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,10,55,0,0,0,0,0.175257732,0.9759036145,1,1,1,0,0,0.1134020619,0,0,0,0,1,1,0,0,1,0,-1,1,-1,1,0
2,1,0,26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0.0628272251,0.0148148148,0,1,0,0,0,0.0104712042,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
7,1,3,86,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,19,54,5,0,0,0,0.2666666667,0.5517241379,0,1,1,0,0,0.0,0,1,0,0,1,0,0,0,1,-1,1,1,0,1,0
3,0,2,34,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,12,15,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
2,1,5,72,4,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,17,48,0,0,0,0,0.0144927536,0.2222222222,0,1,0,0,0,0.0144927536,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
2,0,2,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25,16,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
2,1,2,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,22,0,0,0,0,0.0219298246,0.7777777778,1,1,1,0,1,0.0394736842,0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0
1,0,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,16,0,0,0,0,0.2019230769,0.2452830189,0,0,0,0,0,0.0096153846,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
2,1,4,58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,38,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
4,1,2,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,16,0,0,0,1,1.0,1.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
6,1,2,157,0,0,0,0,0,7,2,1,0,18,1,1,0,0,0,0,20,35,94,0,1,0,0.0,0.8947368421,0,1,1,0,1,0.0,1,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,0
2,0,3,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,21,0,0,0,0,0.0,0.6666666667,1,1,0,1,0,1.0,0,0,0,0,0,0,0,0,1,1,-1,0,0,-1,1
1,0,2,62,5,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,14,41,0,0,0,0,0.1653543307,0.987654321,1,1,1,0,0,0.0866141732,0,0,0,0,1,0,0,0,1,0,-1,1,-1,1,0
2,0,2,64,2,1,0,0,1,0,1,0,0,9,1,0,0,0,1,0,19,24,13,0,0,0,0.0476190476,0.6,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
3,1,2,94,0,0,0,0,0,0,5,4,0,3,1,0,0,0,0,0,17,20,49,0,0,0,0.0,0.0909090909,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0
3,1,2,54,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,24,13,9,0,0,0,0.2509960159,0.9347826087,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,-1,1,-1,1,0
2,0,3,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,20,0,0,1,0,0.8888888889,0.0,0,1,0,0,0,0.1111111111,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1
3,1,2,59,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,18,34,0,0,0,0,0.1259689922,0.2576687117,0,1,0,0,0,0.0174418605,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,22,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,1,2,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,20,0,0,0,0,0.0384615385,0.0687022901,1,0,0,0,0,0.0088757396,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
3,0,2,52,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18,27,0,0,0,0,0.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1
2,1,2,112,10,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,20,85,0,0,0,0,0.2,0.1578947368,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1,0
1,0,5,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,28,0,0,0,0,0.0666666667,0.0769230769,0,1,1,0,0,0.8666666667,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1
2,1,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,8,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,0,3,43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,24,0,0,0,1,0.0,1.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1
2,1,3,85,7,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,13,65,0,0,0,1,0.0933333333,0.9230769231,1,0,0,0,0,0.0,0,0,1,0,1,0,0,0,1,-1,-1,1,-1,1,0
3,1,5,117,4,0,0,0,2,0,3,2,0,16,1,1,0,0,1,0,19,46,44,0,0,0,0.030162413,0.4117647059,0,1,1,0,1,0.0,0,0,0,0,0,1,0,0,1,-1,-1,-1,0,1,0
3,1,2,52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,29,16,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
2,0,3,44,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,13,24,0,0,0,0,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1,1
1,0,4,36,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,12,17,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
3,1,2,76,0,0,0,0,0,0,3,2,0,8,1,1,0,0,1,0,26,18,24,0,0,0,0.5,0.0,0,1,1,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,1,0,0
2,0,1,82,0,0,0,0,1,0,4,3,0,6,1,0,0,0,0,0,14,10,50,0,0,0,0.1935483871,0.2592592593,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1,0
2,0,2,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,20,17,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,1,-1,-1,1
2,1,0,77,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,0,29,1,39,0,0,0,0.03125,0.32,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,0
3,1,1,71,4,0,0,0,0,0,0,0,0,14,1,1,0,0,1,0,24,40,0,0,0,0,0.0875,0.25,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
1,0,2,65,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,50,0,0,0,0,0.2258064516,0.8,1,0,0,0,0,0.0322580645,0,0,0,0,1,0,0,0,1,0,-1,1,0,1,0
3,1,4,56,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,18,31,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
3,1,3,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25,37,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
4,1,3,57,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,22,28,0,0,1,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,-1,1,-1,-1,1
3,0,1,71,0,0,0,0,1,0,3,2,0,7,1,0,0,0,0,0,16,10,37,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
1,0,2,37,2,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,13,17,0,0,0,0,0.1623931624,0.9882352941,1,1,1,0,0,0.094017094,0,0,0,0,1,0,0,0,1,1,-1,1,-1,1,0
4,1,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,15,0,0,0,0,0.0,0.0740740741,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,1,2,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,18,0,0,0,0,0.141509434,0.2285714286,0,1,1,0,1,0.0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0
2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,22,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
4,0,4,101,0,0,0,0,0,0,0,2,0,20,1,1,0,0,1,0,14,80,0,0,0,0,0.0,0.1153846154,0,1,1,0,1,0.9589041096,0,0,0,0,0,1,0,0,1,-1,1,-1,1,-1,1
2,0,3,58,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25,26,0,0,2,0,0.75,0.2222222222,1,1,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0,1,1,0,-1,1
2,1,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0.0191740413,0.125,0,1,0,0,0,0.0132743363,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
1,0,2,85,7,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,21,57,0,0,0,0,0.3095238095,0.5897435897,0,1,1,1,0,0.0,0,0,0,0,1,1,0,0,1,-1,-1,0,0,1,0
1,0,3,62,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18,37,0,0,0,0,0.5227272727,0.1764705882,0,1,0,0,0,0.0227272727,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3,1,5,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,42,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,2,40,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,14,8,10,0,0,0,0.0416666667,0.4,0,1,1,0,1,0.0,0,0,0,0,0,1,0,0,1,1,1,-1,0,1,0
2,1,2,58,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,0,17,34,0,0,0,0,0.6,1.0,0,1,0,0,0,0.4,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
3,1,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,17,0,0,0,0,0.0,0.6666666667,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,-1,1,0,-1,1
4,1,2,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,31,0,0,0,0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,1,1,0,1,0,-1,0,1,-1,1
2,0,1,42,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,16,0,0,0,1,1.0,1.0,1,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,1
3,1,3,45,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,17,21,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1
1,0,4,79,1,0,0,0,0,0,0,0,0,26,1,1,0,0,0,0,13,59,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
3,1,2,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,17,0,0,0,0,0.0,0.1538461538,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,1,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,1,0,0,0,0,0.0222222222,0.0526315789,0,0,0,0,0,0.0888888889,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
4,0,3,64,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,15,42,0,0,0,0,0.1833333333,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
3,1,5,77,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,55,0,0,0,1,0.9183673469,0.875,0,1,0,0,0,0.0816326531,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,1
2,0,2,63,0,0,0,0,0,0,2,1,0,8,1,0,0,0,1,0,12,15,28,0,0,0,0.1290322581,0.2916666667,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
2,0,6,71,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,48,0,0,1,0,0.0,0.2857142857,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,1
3,1,3,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,22,0,0,0,0,0.0,0.0625,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1
3,0,4,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,27,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,0,1,83,2,0,0,0,0,0,3,2,0,13,1,0,0,0,0,0,21,9,45,0,0,0,0.1630434783,0.1666666667,0,1,0,0,0,0.0108695652,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,0
3,1,2,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,15,0,0,0,0,0.5,0.0625,1,1,0,0,0,0.5,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,1
1,0,1,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,9,26,0,0,0,0,0.0294117647,0.5,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
2,0,3,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,22,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2,1,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0.0202205882,0.306122449,1,1,0,0,0,0.0514705882,0,0,0,0,0,1,0,0,1,1,1,1,-1,1,0
2,0,2,66,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27,32,0,0,2,0,0.0,0.0,0,1,0,0,0,0.9607843137,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
1,0,11,170,1,0,0,0,0,0,0,0,0,39,1,1,0,0,1,0,26,137,0,0,2,1,0.6470588235,0.9032258065,1,1,0,0,0,0.3529411765,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,1
2,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0.1375,0.1111111111,0,0,1,0,1,0.0125,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,0
3,1,3,70,5,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,20,43,0,0,0,0,0.0226244344,0.2028985507,0,1,0,0,0,0.0030165913,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
4,2,4,118,2,0,0,0,2,0,6,5,0,13,1,1,0,0,0,0,24,25,61,0,0,0,0.0303030303,0.1111111111,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0
